City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,15.59,71,80,3.41,CL,1702313195
1,chinchilla,-26.75,150.6333,19.51,80,99,6.29,AU,1702313377
2,port lincoln,-34.7333,135.8667,15.93,88,42,1.51,AU,1702313128
3,talnakh,69.4865,88.3972,-24.89,97,100,4.47,RU,1702313380
4,bredasdorp,-34.5322,20.0403,20.04,55,0,4.74,ZA,1702313381
5,invercargill,-46.4,168.35,7.85,80,66,8.32,NZ,1702313382
6,whitehorse,60.7161,-135.0538,-3.57,80,75,9.77,CA,1702313269
7,bilibino,68.0546,166.4372,-18.89,94,100,1.48,RU,1702313385
8,grytviken,-54.2811,-36.5092,4.81,87,97,5.29,GS,1702313386
9,kapuskasing,49.4169,-82.4331,-10.95,79,100,4.12,CA,1702313388
10,as sulayyil,20.4607,45.5779,20.14,20,53,4.05,SA,1702313389
11,waitangi,-43.9535,-176.5597,13.79,87,99,1.34,NZ,1702313391
12,samana,19.2056,-69.3369,29.12,84,40,3.09,DO,1702313392
13,albany,42.6001,-73.9662,3.65,84,92,1.79,US,1702312814
14,coquimbo,-29.9533,-71.3436,19.85,68,0,5.66,CL,1702313395
15,port-aux-francais,-49.35,70.2167,5.01,91,65,8.25,TF,1702313397
16,bethel,41.3712,-73.414,6.43,84,100,3.6,US,1702313142
17,mitu,1.1983,-70.1733,29.28,74,72,1.05,CO,1702313401
18,happy valley-goose bay,53.3168,-60.3315,3.17,81,100,0.0,CA,1702313272
19,cooma,-36.2333,149.1333,17.56,90,100,1.1,AU,1702313405
20,olonkinbyen,70.9221,-8.7187,0.0,94,100,7.36,SJ,1702313406
21,la passe,45.5549,-0.8967,14.13,97,100,6.51,FR,1702313409
22,taltal,-25.4,-70.4833,20.69,66,12,2.85,CL,1702313179
23,kavaratti,10.5669,72.642,28.8,70,64,0.7,IN,1702313412
24,nemuro,43.3236,145.575,1.36,55,96,1.53,JP,1702313414
25,puerto ayora,-0.7393,-90.3518,28.98,77,49,3.89,EC,1702313417
26,quang ngai,15.1167,108.8,22.34,92,92,1.66,VN,1702313419
27,aden,12.7794,45.0367,26.06,68,7,5.05,YE,1702313418
28,belebey,54.1167,54.1167,-24.32,90,45,3.7,RU,1702313422
29,porto novo,6.4965,2.6036,30.9,64,40,3.99,BJ,1702313425
30,san fernando de monte cristi,19.8667,-71.65,29.45,65,4,6.51,DO,1702313427
31,mount gambier,-37.8333,140.7667,17.82,78,100,3.64,AU,1702313428
32,phalodi,27.1333,72.3667,20.25,18,6,2.18,IN,1702313430
33,port elizabeth,-33.918,25.5701,22.16,76,0,4.12,ZA,1702313264
34,nuuk,64.1835,-51.7216,2.34,69,100,23.15,GL,1702313434
35,baiyin,36.5583,104.2081,-1.47,46,0,1.16,CN,1702313435
36,blackmans bay,-43.0167,147.3167,10.29,92,65,1.57,AU,1702313437
37,rantepao,-2.9701,119.8978,20.31,97,100,1.09,ID,1702313438
38,thisted,56.9552,8.6949,2.33,90,100,7.28,DK,1702313439
39,tolanaro,-25.0319,46.9987,27.04,89,20,7.2,MG,1702313441
40,derbent,42.0678,48.2899,6.04,85,100,6.69,RU,1702313443
41,kristiansund,63.1115,7.732,-2.64,80,0,1.54,NO,1702313444
42,puerto natales,-51.7236,-72.4875,12.25,43,75,7.2,CL,1702313186
43,aasiaat,68.7098,-52.8699,-0.61,73,100,6.72,GL,1702313447
44,pontianak,-0.0333,109.3333,24.99,100,75,1.54,ID,1702313449
45,ovalle,-30.5983,-71.2003,28.18,35,15,4.3,CL,1702313255
46,ceerigaabo,10.6162,47.368,16.09,75,47,1.89,SO,1702313453
47,papatowai,-46.5619,169.4708,7.69,79,36,7.98,NZ,1702313424
48,kolonia town,6.964,158.206,28.0,83,40,2.57,FM,1702313456
49,tapes,-30.6733,-51.3958,24.67,65,36,4.89,BR,1702313457
50,georgetown,5.4112,100.3354,26.08,94,20,1.54,MY,1702313459
51,vanimo,-2.6741,141.3028,26.23,92,88,4.69,PG,1702313460
52,ilulissat,69.2167,-51.1,1.01,80,75,2.57,GL,1702313438
53,avarua,-21.2078,-159.775,25.03,88,100,11.32,CK,1702313466
54,ojinaga,29.5667,-104.4167,13.1,36,0,0.0,MX,1702313468
55,luderitz,-26.6481,15.1594,22.81,52,0,12.76,NA,1702313471
56,howard springs,-12.497,131.047,25.95,95,42,1.79,AU,1702313470
57,yellowknife,62.456,-114.3525,-21.71,84,20,4.63,CA,1702313368
58,saint-joseph,-21.3667,55.6167,25.21,78,49,4.58,RE,1702313479
59,kyosai,34.8503,128.5886,12.98,90,98,4.1,KR,1702313482
60,mugia,43.1041,-9.2179,17.73,92,100,11.81,ES,1702313484
61,murun-kuren,49.6342,100.1625,-22.39,95,35,0.51,MN,1702313485
62,lieksa,63.3167,30.0167,-14.76,94,100,2.51,FI,1702313487
63,port alfred,-33.5906,26.891,21.21,85,10,0.89,ZA,1702313489
64,bobo-dioulasso,11.1771,-4.2979,34.25,8,0,4.63,BF,1702313491
65,hamilton,39.1834,-84.5333,2.26,75,100,3.6,US,1702313145
66,kalispell,48.1958,-114.3129,2.1,95,100,0.0,US,1702313498
67,adamstown,-25.066,-130.1015,21.34,60,4,2.22,PN,1702313426
68,williams,52.1415,-122.1445,-1.24,98,100,3.09,CA,1702313503
69,huarmey,-10.0681,-78.1522,23.76,69,9,5.16,PE,1702313477
70,iqaluit,63.7506,-68.5145,-17.15,78,75,9.77,CA,1702313506
71,edinburgh of the seven seas,-37.0676,-12.3116,13.1,85,100,9.24,SH,1702313508
72,camayenne,9.535,-13.6878,32.05,66,20,4.12,GN,1702313509
73,el calafate,-50.3408,-72.2768,10.96,48,100,3.54,AR,1702313458
74,mitsamiouli,-11.3847,43.2844,28.11,77,100,5.13,KM,1702313514
75,holualoa,19.6228,-155.9522,23.26,81,20,2.57,US,1702313515
76,margaret river,-33.95,115.0667,15.57,67,0,3.29,AU,1702313516
77,mersing,2.4312,103.8405,24.95,100,40,3.6,MY,1702313518
78,juan griego,11.0817,-63.9655,28.81,70,63,6.18,VE,1702313520
79,atafu village,-8.5421,-172.5159,27.82,83,100,11.72,TK,1702313521
80,mora,11.0461,14.1401,23.87,24,61,4.15,CM,1702313523
81,vorgashor,67.5833,63.95,-21.82,95,100,4.55,RU,1702313429
82,paoua,7.2427,16.4406,26.46,20,74,2.08,CF,1702313527
83,vadso,70.0744,29.7487,-6.91,79,75,6.69,NO,1702313530
84,rabo de peixe,37.8,-25.5833,17.77,99,40,7.2,PT,1702313531
85,rajpur,22.3,74.35,21.33,46,20,1.35,IN,1702313533
86,tiksi,71.6872,128.8694,-23.35,99,100,3.98,RU,1702313536
87,billings,45.7833,-108.5007,4.73,60,100,7.2,US,1702313362
88,west island,-12.1568,96.8225,25.99,73,7,3.09,CC,1702313539
89,chichester,50.8367,-0.78,10.97,65,13,3.58,GB,1702313540
90,walvis bay,-22.9575,14.5053,19.53,68,0,4.12,NA,1702313542
91,qaqortoq,60.7167,-46.0333,-2.12,93,100,8.31,GL,1702313544
92,stanley,54.868,-1.6985,4.33,93,20,3.09,GB,1702313436
93,pacasmayo,-7.4006,-79.5714,22.87,71,5,6.19,PE,1702313461
94,hawaiian paradise park,19.5933,-154.9731,22.24,98,100,2.57,US,1702313549
95,shagonar,51.5333,92.8,-31.12,99,96,0.77,RU,1702313551
96,isafjordur,66.0755,-23.124,-1.98,69,100,3.6,IS,1702313553
97,lihue,21.9789,-159.3672,24.09,88,100,5.14,US,1702313555
98,saldanha,-33.0117,17.9442,22.03,79,0,8.68,ZA,1702313557
99,ceres,37.5949,-120.9577,8.36,100,0,1.54,US,1702313560
100,nova vicosa,-17.8919,-39.3719,29.76,55,34,7.59,BR,1702313541
101,karratha,-20.7377,116.8463,25.74,45,0,4.35,AU,1702313565
102,illizi,26.4833,8.4667,18.89,33,0,3.37,DZ,1702313566
103,barguzin,53.6167,109.6167,-27.87,94,64,1.59,RU,1702313568
104,beyneu,45.3167,55.2,-9.85,34,4,8.96,KZ,1702313571
105,hadibu,12.65,54.0333,25.06,65,9,5.16,YE,1702313573
106,chinde,26.8418,88.0763,10.39,68,25,2.03,NP,1702313575
107,tongren,27.7172,109.1853,5.73,86,100,2.34,CN,1702313579
108,fuling,29.7022,107.3919,14.13,92,96,0.52,CN,1702313580
109,aykhal,66.0,111.5,-26.36,98,100,1.96,RU,1702313582
110,punta arenas,-53.15,-70.9167,11.06,40,75,7.2,CL,1702313584
111,quepos,9.4236,-84.1652,30.18,64,66,2.57,CR,1702313587
112,staunton,38.1496,-79.0717,5.79,70,100,6.69,US,1702313591
113,oleksandrivka,48.9634,32.2349,1.55,99,100,4.5,UA,1702313593
114,zhosaly,45.4878,64.0781,-16.9,48,0,9.23,KZ,1702313594
115,saint-pierre,-21.3393,55.4781,25.82,73,0,6.69,RE,1702313596
116,shingu,33.7333,135.9833,16.97,96,100,4.09,JP,1702313599
117,ribeira grande,38.5167,-28.7,17.65,67,40,5.14,PT,1702313602
118,labrador city,52.9463,-66.9114,-5.05,86,100,3.09,CA,1702313410
119,poronaysk,49.2167,143.1167,-15.99,79,15,3.44,RU,1702313605
120,geraldton,-28.7667,114.6,16.23,82,0,2.57,AU,1702313607
121,weno,7.4515,151.8468,27.97,83,100,1.54,FM,1702313611
122,san bernardo del viento,9.3533,-75.9524,30.21,72,39,1.8,CO,1702313613
123,swift current,50.2834,-107.8014,-4.55,63,0,7.2,CA,1702313385
124,whangarei,-35.7317,174.3239,14.31,67,76,4.22,NZ,1702313616
125,constantia,44.1833,28.65,2.61,72,90,3.39,RO,1702313619
126,hermanus,-34.4187,19.2345,18.9,70,0,2.79,ZA,1702313620
127,changyon,38.2508,125.0961,1.43,87,100,2.59,KP,1702313621
128,igarka,67.4667,86.5833,-24.03,99,100,3.81,RU,1702313623
129,mpika,-11.8343,31.4529,20.23,81,100,1.06,ZM,1702313624
130,marte,12.3611,13.8246,21.89,34,9,3.12,NG,1702313626
131,port mathurin,-19.6833,63.4167,26.46,73,100,3.07,MU,1702313448
132,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702313630
133,turpan,42.9333,89.1667,0.65,61,72,0.17,CN,1702313499
134,acapulco de juarez,16.8634,-99.8901,29.21,59,92,0.49,MX,1702313633
135,tual,-5.6667,132.75,28.69,77,89,6.35,ID,1702313634
136,carnarvon,-24.8667,113.6333,24.33,62,0,4.47,AU,1702313637
137,kingston,17.997,-76.7936,30.69,71,20,6.17,JM,1702313638
138,hovd,48.0056,91.6419,-17.37,82,88,0.77,MN,1702313639
139,beledweyne,4.7358,45.2036,29.02,51,99,4.01,SO,1702313641
140,ushuaia,-54.8,-68.3,11.81,40,0,4.63,AR,1702313643
141,tbeng meanchey,13.8167,104.9667,24.26,72,100,0.36,KH,1702313644
142,wailua homesteads,22.0669,-159.378,23.75,91,100,3.6,US,1702313646
143,la asuncion,11.0333,-63.8628,27.78,75,66,6.11,VE,1702313648
144,bogande,12.9714,-0.1436,30.36,11,1,4.61,BF,1702313650
145,primero de mayo,-32.2552,-58.4228,29.75,46,1,6.01,AR,1702313652
146,severo-yeniseyskiy,60.3725,93.0408,-40.24,100,80,0.45,RU,1702313654
147,zhumysker,49.3333,49.4,-11.3,68,58,8.42,KZ,1702313657
148,tutoia,-2.7619,-42.2744,30.45,59,98,6.74,BR,1702313659
149,pandan,14.0453,124.1694,26.8,85,39,5.01,PH,1702313661
150,lata,40.1629,-8.3327,17.73,83,100,1.91,PT,1702313664
151,labytnangi,66.6572,66.4183,-25.74,98,100,3.9,RU,1702313465
152,college,64.8569,-147.8028,-8.03,73,75,2.06,US,1702313668
153,longyearbyen,78.2186,15.6401,-5.09,68,75,8.75,SJ,1702313669
154,soio,-6.1349,12.3689,27.86,75,82,3.77,AO,1702313671
155,alice springs,-23.7,133.8833,12.75,62,0,1.54,AU,1702313672
156,sandy,40.572,-111.8606,4.22,60,0,1.54,US,1702313533
157,vilsbiburg,48.45,12.35,7.99,88,76,4.92,DE,1702313676
158,brisas de zicatela,15.8369,-97.0419,29.84,38,90,1.37,MX,1702313678
159,martuk,50.7475,56.5056,-23.29,79,6,6.26,KZ,1702313680
160,rosetta,31.4044,30.4164,18.59,56,0,1.99,EG,1702313681
161,brookings,44.3114,-96.7984,0.05,95,7,5.51,US,1702313447
162,juneau,58.3019,-134.4197,3.0,95,100,8.23,US,1702313449
163,san patricio,28.017,-97.5169,17.14,24,89,1.67,US,1702313450
164,puerto aysen,-45.4,-72.7,14.44,72,58,2.66,CL,1702313694
165,pionerskiy,54.9508,20.2275,0.91,89,100,2.87,RU,1702313696
166,peace river,56.2501,-117.286,-9.64,87,100,1.03,CA,1702313699
167,fort bragg,35.139,-79.006,8.79,62,75,4.63,US,1702313700
168,sokoni,-6.4333,39.55,27.92,76,85,3.27,TZ,1702313704
169,maridi,4.9158,29.4742,28.99,40,89,1.4,SS,1702313707
170,jinchang,38.4953,102.1739,2.92,21,0,3.99,CN,1702313709
171,tralee,52.2704,-9.7026,10.14,93,75,3.6,IE,1702313710
172,sinabang,2.4803,96.3801,26.07,82,77,1.45,ID,1702313712
173,haimen,23.1935,116.6142,19.94,85,1,1.0,CN,1702313714
174,belyy yar,53.6039,91.3903,-34.06,75,20,0.0,RU,1702313716
175,glace bay,46.1969,-59.957,14.88,90,100,8.23,CA,1702313719
176,touros,-5.1989,-35.4608,30.0,58,6,6.58,BR,1702313722
177,ust-nera,64.5667,143.2,-20.92,99,100,4.24,RU,1702313723
178,babatngon,11.4238,124.8449,24.74,91,98,1.13,PH,1702313726
179,mount isa,-20.7333,139.5,27.87,36,75,6.17,AU,1702313729
180,new norfolk,-42.7826,147.0587,10.95,98,85,0.93,AU,1702313731
181,arawa,-6.2132,155.5367,25.44,92,100,1.24,PG,1702313734
182,jamestown,42.097,-79.2353,0.31,95,100,6.69,US,1702313737
183,klyuchi,52.2667,79.1667,-23.3,84,86,5.81,RU,1702313739
184,cabo san lucas,22.8909,-109.9124,27.09,68,0,2.06,MX,1702313631
185,severo-vostotchnyi bank,39.4112,49.2479,9.84,78,100,7.26,AZ,1702313744
186,kodiak,57.79,-152.4072,0.73,69,75,5.66,US,1702313533
187,sacramento,38.4666,-121.3177,12.21,100,0,0.0,US,1702313579
188,meadow lake,34.8014,-106.5436,9.26,44,100,2.06,US,1702313751
189,phongsali,21.6833,102.1058,13.6,85,16,0.4,LA,1702313754
190,cassilandia,-19.1133,-51.7342,37.04,30,92,2.18,BR,1702313759
191,tura,25.5198,90.2201,15.59,85,0,1.47,IN,1702313761
192,ouahigouya,13.5828,-2.4216,30.86,10,37,4.39,BF,1702313765
193,jining,35.405,116.5814,-1.86,90,100,3.52,CN,1702313766
194,iskateley,67.6803,53.1512,-16.66,94,100,9.39,RU,1702313771
195,apolinario saravia,-24.4328,-63.9954,32.59,37,74,6.21,AR,1702313774
196,dzilam gonzalez,21.2833,-88.9333,24.56,57,99,4.56,MX,1702313775
197,babolsar,36.7025,52.6576,11.18,80,100,4.57,IR,1702313777
198,baruun-urt,46.6806,113.2792,-23.34,100,100,1.14,MN,1702313780
199,peniche,39.3558,-9.3811,18.49,86,100,5.7,PT,1702313782
200,nogara,45.1731,11.0658,6.12,83,97,0.45,IT,1702313785
201,sorong,-0.8833,131.25,27.76,79,60,2.18,ID,1702313787
202,ust'-ilimsk,58.0006,102.6619,-35.99,100,49,0.45,RU,1702313754
203,greenland,43.0362,-70.8328,6.59,86,100,6.69,US,1702313793
204,at taraf,25.3628,49.725,21.3,22,97,3.44,SA,1702313795
205,fale old settlement,-9.3852,-171.2468,28.08,82,100,11.19,TK,1702313797
206,howrah,22.5892,88.3103,20.0,68,0,0.0,IN,1702313799
207,messaad,34.1543,3.5031,18.86,22,0,2.22,DZ,1702313801
208,kumeny,58.1089,49.9161,-21.39,90,93,6.42,RU,1702313804
209,saipan,15.1355,145.701,27.39,83,20,4.12,MP,1702313807
210,nova sintra,14.8667,-24.7167,23.53,64,19,7.12,CV,1702313811
211,qarauyl,48.9451,79.255,-22.33,96,100,6.74,KZ,1702313822
212,nadi,-17.8,177.4167,20.0,83,20,2.57,FJ,1702313825
213,drayton valley,53.2168,-114.9854,-9.44,81,31,1.96,CA,1702313827
214,polyarnyy,69.1989,33.4478,-12.57,89,89,6.98,RU,1702313829
215,majuro,7.0897,171.3803,28.04,73,96,9.28,MH,1702313833
216,east london,-33.0153,27.9116,22.52,78,20,6.17,ZA,1702313836
217,leava,-14.3,-178.1667,26.63,63,86,4.38,WF,1702313838
218,lucas,41.6501,-83.6666,2.08,64,100,5.66,US,1702313841
219,erenhot,43.6475,111.9767,-9.7,44,48,3.55,CN,1702313844
220,puerto la cruz,10.2167,-64.6167,27.37,75,40,2.75,VE,1702313846
221,chui,-33.6971,-53.4616,23.35,62,7,5.36,UY,1702313850
222,manismata,-2.4667,111.0333,24.16,97,99,1.04,ID,1702313851
223,hobyo,5.3505,48.5268,26.93,76,97,6.97,SO,1702313853
224,taoudenni,22.6783,-3.9836,26.25,12,28,4.35,ML,1702313855
225,san antonio de pale,-1.4014,5.6325,24.97,88,100,0.27,GQ,1702313858
226,markovo,57.3206,107.0881,-33.04,100,89,0.53,RU,1702313861
227,anadyr,64.75,177.4833,-26.67,75,0,4.0,RU,1702313863
228,alo,7.4178,6.7371,32.3,30,11,1.05,NG,1702313865
229,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,87,75,7.6,RU,1702313870
230,ancud,-41.8697,-73.8203,11.94,95,100,4.67,CL,1702313871
231,codrington,-38.2667,141.9667,15.77,90,100,4.46,AU,1702313873
232,utrik,11.2278,169.8474,27.14,78,48,9.23,MH,1702313876
233,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702313877
234,taulaga,-11.0553,-171.0883,28.1,81,99,10.64,AS,1702313879
235,seaside,36.6111,-121.8516,14.21,59,0,2.57,US,1702313880
236,kirovskiy,45.0917,133.5136,-19.76,94,100,1.34,RU,1702313884
237,dongola,19.1667,30.4833,23.76,16,82,4.9,SD,1702313887
238,nar'yan-mar,67.6713,53.087,-16.61,94,100,9.39,RU,1702313888
239,dompu,-8.5356,118.4622,25.5,92,100,0.82,ID,1702313892
240,enewetak,11.3474,162.3373,27.91,77,64,8.65,MH,1702313893
241,broken hill,-31.95,141.4333,23.85,44,93,2.96,AU,1702313897
242,sao felix do xingu,-6.6447,-51.995,29.73,71,93,1.97,BR,1702313899
243,kirakira,-10.4544,161.9205,25.42,87,95,1.8,SB,1702313904
244,fort st. john,56.2499,-120.8529,-8.06,73,75,2.57,CA,1702313906
245,kone,-21.0595,164.8658,22.27,76,95,1.46,NC,1702313907
246,tamayo,18.3947,-71.2029,30.84,70,40,6.17,DO,1702313911
247,mahina,-17.5065,-149.489,25.87,78,20,1.03,PF,1702313913
248,namibe,-15.1961,12.1522,22.77,70,70,5.24,AO,1702313916
249,hasaki,35.7333,140.8333,12.38,85,100,3.25,JP,1702313920
250,thinadhoo,0.5333,72.9333,27.86,77,14,2.51,MV,1702313921
251,zuyevka,58.405,51.1335,-23.42,88,89,5.28,RU,1702313925
252,rasony,55.9089,28.8126,-0.24,96,100,4.97,BY,1702313841
253,luganville,-15.5333,167.1667,23.45,70,100,1.98,VU,1702313932
254,kenai,60.5544,-151.2583,-0.95,99,100,6.17,US,1702313933
255,hays,30.0502,-98.0336,16.09,34,1,2.24,US,1702313935
256,zeya,53.75,127.2667,-30.29,91,5,1.67,RU,1702313937
257,talara,-4.5772,-81.2719,28.42,61,0,5.14,PE,1702313939
258,flying fish cove,-10.4217,105.6791,24.82,78,40,3.6,CX,1702313940
259,omdurman,15.6445,32.4777,29.19,8,100,3.86,SD,1702313943
260,vernon,50.2581,-119.2691,2.09,94,94,1.03,CA,1702313947
261,ust-tsilma,65.441,52.1498,-15.22,91,100,5.36,RU,1702313949
262,egilsstadir,65.2653,-14.3948,-4.05,68,0,2.06,IS,1702313950
263,toamasina,-18.1667,49.3833,28.0,83,40,1.54,MG,1702313952
264,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,5.14,EC,1702313955
265,cockburn town,21.4612,-71.1419,28.98,70,40,6.17,TC,1702313957
266,arno,60.1167,18.6333,-0.68,86,100,5.58,SE,1702313959
267,thompson,55.7435,-97.8558,-8.91,86,100,7.72,CA,1702313961
268,berezovo,63.9381,65.0419,-26.85,89,100,4.93,RU,1702313963
269,vilyuchinsk,52.9306,158.4028,-5.85,82,14,4.46,RU,1702313964
270,badger,64.8,-147.5333,-8.07,73,75,2.06,US,1702313972
271,gobernador virasora,-28.05,-56.0333,31.95,59,0,0.89,AR,1702313974
272,zhangjiakou shi xuanhua qu,40.6103,115.0447,-5.88,86,59,0.21,CN,1702313975
273,vanino,49.0869,140.2543,-21.71,76,2,3.63,RU,1702313978
274,ampanihy,-24.7,44.75,26.98,61,100,4.57,MG,1702313980
275,kidal,18.4411,1.4078,23.93,19,10,6.98,ML,1702313983
276,babol,36.5513,52.679,11.04,83,100,2.35,IR,1702313985
